0-8-10.shop,FQDN,XWORM,62,23
0.tcp.ap.ngrok.io,FQDN,ASYNCRAT, DARKCOMET, HAVOCDEMON, NANOCORE, NJRAT, QUASARRAT, REDLINESTEALER, SMALLNET, SPYMAX, SPYNOTE.MOBIHOK, WARZONE, XWORM,80,42
0.tcp.in.ngrok.io,FQDN,ASYNCRAT, CYBERGATE, DARKCOMET, GRUNT, HAVOCDEMON, METASPLOIT, NANOCORE, NJRAT, PUNISHERRAT, QUASARRAT, REDLINESTEALER, REMCOS, SPYMAX, SPYNOTE.MOBIHOK, XWORM,60,15
0.tcp.jp.ngrok.io,FQDN,ASYNCRAT, METASPLOIT, NANOCORE, NJRAT, SPYNOTE, XWORM,60,13
0.tcp.sa.ngrok.io,FQDN,ASYNCRAT, CYBERGATE, DARKCOMET, HAVOCDEMON, METASPLOIT, NANOCORE, NJRAT, QUASARRAT, REDLINESTEALER, REMCOS, SPYGATE, SPYNOTE.MOBIHOK, WARZONE.V2, XWORM,65,21
0.tpc.eu.ngrok.io,FQDN,XWORM,60,14
06wmffgn1.localto.net,FQDN,XWORM,93,86
0cfijurk6.localto.net,FQDN,XWORM,97,67
1.tcp.ap.ngrok.io,FQDN,ASYNCRAT, XWORM,71,42
1.tcp.sa.ngrok.io,FQDN,BOZOK, NJRAT, QUASARRAT, REMCOS, WARZONE, XWORM,55,7
1000trojan.ddns.net,FQDN,XWORM,46,7
112321-24165.portmap.io,FQDN,XWORM,62,23
123123123qqqqqqq-57832.portmap.host,FQDN,XWORM,72,45
1231dasdsadasd-30978.portmap.io,FQDN,XWORM,84,48
1305-43463.portmap.host,FQDN,XWORM,90,56
1337chip-51541.portmap.io,FQDN,XWORM,62,23
16.ip.eu.ply.gg,FQDN,XWORM,78,39
16.ip.gl.ply.gg,FQDN,ASYNCRAT, DARKCOMET, NANOCORE, NJRAT, XWORM,78,39
17.ip.gl.ply.gg,FQDN,ASYNCRAT, DARKCOMET, NJRAT, XWORM,85,49
18.ip.gl.ply.gg,FQDN,ASYNCRAT, CYBERGATE, NJRAT, QUASARRAT, XWORM,68,26
181.ip.ply.gg,FQDN,ASYNCRAT, CYBERGATE, NJRAT, QUASARRAT, SPYNOTE, XWORM,69,26
19.ip.gl.ply.gg,FQDN,ASYNCRAT, NJRAT, QUASARRAT, REMCOS, XWORM,78,40
1re0-61442.portmap.io,FQDN,XWORM,92,59
2.tcp.eu.ngrok.io,FQDN,ASYNCRAT, BEACON, CYBERGATE, DARKCOMET, METASPLOIT, NANOCORE, NJRAT, QUASARRAT, REDLINESTEALER, REMCOS, SPYGATE, SPYMAX, SPYNOTE, WARZONE.V2, XWORM,71,29
